nprune,degree,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos_Pred_Value,Neg_Pred_Value,Precision,Recall,F1,Detection_Rate,Balanced_Accuracy,logLoss,AUC,MCC,AccuracySD,KappaSD,AccuracyLowerSD,AccuracyUpperSD,AccuracyPValueSD,McnemarPValueSD,SensitivitySD,SpecificitySD,Pos_Pred_ValueSD,Neg_Pred_ValueSD,PrecisionSD,RecallSD,F1SD,Detection_RateSD,Balanced_AccuracySD,logLossSD,AUCSD,MCCSD
2,1,0.646929144430843,0.294419215373558,0.637438695270552,0.656333379948448,4.95249776243425e-114,0,0.443583720162585,0.760042061654441,,0.865983431522,,0.443583720162585,,0.215643048143614,0.601812890908513,0.498627854317523,0.636090339713942,0.364225624342908,0.00335497589025307,0.00764631402910384,0.00337433717695082,0.00333364457874694,2.64103157865111e-113,0,0.00313345915854964,0.00248343974880505,,0.000915263048182453,,0.00313345915854964,,0.00111832529675103,0.00280470040399376,0.00226869458467967,0.00354254945312733,0.00667302942833164
3,1,0.660227328627877,0.325356217503622,0.650817436074611,0.669543198557061,1.87987814689937e-138,0,0.482503209709588,0.766939959206665,0.797090896435837,0.871478996084243,0.797090896435837,0.482503209709588,0.482364212327935,0.220075776209292,0.624721584458126,0.488965586165838,0.65039080903634,0.402141911568029,0.00375134945967092,0.00851130348955876,0.00377526238650138,0.00372523285570641,1.02964737519772e-137,0,0.00468372733553429,0.0026963587222043,0.00292029291488553,0.00106227650608091,0.00292029291488553,0.00468372733553429,0.00677404896287265,0.0012504498198903,0.00364195255461668,0.00313948817568262,0.00392851837446466,0.00737630058340024
4,1,0.660227328627877,0.325356217503622,0.650817436074611,0.669543198557061,1.87987814689937e-138,0,0.482503209709588,0.766939959206665,0.797090896435837,0.871478996084243,0.797090896435837,0.482503209709588,0.482364212327935,0.220075776209292,0.624721584458126,0.486534681060345,0.669428566345498,0.402141911568029,0.00375134945967092,0.00851130348955876,0.00377526238650138,0.00372523285570641,1.02964737519772e-137,0,0.00468372733553429,0.0026963587222043,0.00292029291488553,0.00106227650608091,0.00292029291488553,0.00468372733553429,0.00677404896287265,0.0012504498198903,0.00364195255461668,0.00322261637725099,0.00414919223576244,0.00737630058340024
5,1,0.660807838408373,0.326731056571681,0.651401637915273,0.670119675356822,3.03291134041504e-140,0,0.48420210166375,0.767268287219902,0.797829101317442,0.871704153191665,0.797829101317442,0.48420210166375,0.485230508798441,0.220269279469458,0.625735194441826,0.485689541833632,0.673420980375141,0.403721267591657,0.00371193308369554,0.00841953377275512,0.00373572930371505,0.00368595644728564,1.66118759348099e-139,0,0.00466408929047145,0.00267363406000159,0.00283038470465685,0.00104656443706171,0.00283038470465685,0.00466408929047145,0.00674835340630271,0.00123731102789851,0.00361128267447699,0.0031805663986401,0.00571174132543948,0.007254512670495
6,1,0.660972264673436,0.327117600589695,0.651567121290963,0.670282947942361,1.80701718920976e-140,0,0.484683320010814,0.767359272015998,0.798053428691398,0.871769080244529,0.798053428691398,0.484683320010814,0.486042121383862,0.220324088224479,0.626021296013406,0.484720956047216,0.684458733926954,0.404172868688835,0.00375218832211362,0.00850571070593241,0.00377623990355501,0.00372593261026622,9.89733290853026e-140,0,0.00472179089085295,0.00269296189383444,0.00293101623444642,0.00106458036554397,0.00293101623444641,0.00472179089085295,0.0068144129398406,0.00125072944070454,0.00365613562993038,0.00316510574763003,0.00383594812649,0.0073710470284841
7,1,0.660948774627893,0.327057806019284,0.651543483705506,0.670259619232235,5.08823867784508e-140,0,0.484614568333679,0.767342657397013,0.798047449913637,0.871761946633779,0.798047449913637,0.484614568333679,0.485928209446879,0.220316258209298,0.625978612865346,0.48434253733198,0.686388889057288,0.404117964712323,0.00376771811363748,0.00854506733291345,0.00379186256122559,0.00374136044386856,2.78693231630199e-139,0,0.00476281050450828,0.00270368669819999,0.00293495723030873,0.00106937303905103,0.00293495723030872,0.00476281050450828,0.0068820531484478,0.00125590603787916,0.00368272326326921,0.00318846737452712,0.00406022011118906,0.00740873784092086
8,1,0.660948774627893,0.327057806019284,0.651543483705506,0.670259619232235,5.08823867784508e-140,0,0.484614568333679,0.767342657397013,0.798047449913637,0.871761946633779,0.798047449913637,0.484614568333679,0.485928209446879,0.220316258209298,0.625978612865346,0.484305511534745,0.686495296325123,0.404117964712323,0.00376771811363748,0.00854506733291345,0.00379186256122559,0.00374136044386856,2.78693231630199e-139,0,0.00476281050450828,0.00270368669819999,0.00293495723030873,0.00106937303905103,0.00293495723030872,0.00476281050450828,0.0068820531484478,0.00125590603787916,0.00368272326326921,0.00318292610041302,0.00406294971464868,0.00740873784092086
9,1,0.660948774627893,0.327057806019284,0.651543483705506,0.670259619232235,5.08823867784508e-140,0,0.484614568333679,0.767342657397013,0.798047449913637,0.871761946633779,0.798047449913637,0.484614568333679,0.485928209446879,0.220316258209298,0.625978612865346,0.484305511534745,0.686495296325123,0.404117964712323,0.00376771811363748,0.00854506733291345,0.00379186256122559,0.00374136044386856,2.78693231630199e-139,0,0.00476281050450828,0.00270368669819999,0.00293495723030873,0.00106937303905103,0.00293495723030872,0.00476281050450828,0.0068820531484478,0.00125590603787916,0.00368272326326921,0.00318292610041302,0.00406294971464868,0.00740873784092086
10,1,0.660948774627893,0.327057806019284,0.651543483705506,0.670259619232235,5.08823867784508e-140,0,0.484614568333679,0.767342657397013,0.798047449913637,0.871761946633779,0.798047449913637,0.484614568333679,0.485928209446879,0.220316258209298,0.625978612865346,0.484305511534745,0.686495296325123,0.404117964712323,0.00376771811363748,0.00854506733291345,0.00379186256122559,0.00374136044386856,2.78693231630199e-139,0,0.00476281050450828,0.00270368669819999,0.00293495723030873,0.00106937303905103,0.00293495723030872,0.00476281050450828,0.0068820531484478,0.00125590603787916,0.00368272326326921,0.00318292610041302,0.00406294971464868,0.00740873784092086
