mtry,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos_Pred_Value,Neg_Pred_Value,Precision,Recall,F1,Detection_Rate,Balanced_Accuracy,logLoss,AUC,MCC,AccuracySD,KappaSD,AccuracyLowerSD,AccuracyUpperSD,AccuracyPValueSD,McnemarPValueSD,SensitivitySD,SpecificitySD,Pos_Pred_ValueSD,Neg_Pred_ValueSD,PrecisionSD,RecallSD,F1SD,Detection_RateSD,Balanced_AccuracySD,logLossSD,AUCSD,MCCSD
2,0.554459484187289,0.0668176602017519,0.544620691614459,0.56426633012325,7.64208537150888e-06,0,0.357338767005537,0.686811211873886,,0.847265087934448,,0.357338767005537,,0.18481982806243,0.522074989439712,0.724260954846342,0.666803450555413,0.158567796629111,0.00386025442312422,0.00975923495692332,0.00386738292657171,0.00385086066513959,2.63607732361647e-05,0,0.00359655003533807,0.00295263407663801,,0.000790810640190716,,0.00359655003533807,,0.00128675147437474,0.00327340715449875,0.00856502092581501,0.00393344212957703,0.0129131140825438
11,0.664552641041619,0.343948147418392,0.65517071996603,0.673837999225999,4.47632545978654e-147,0,0.493572008586977,0.774032636213903,0.778021017794669,0.847865454721484,0.77802101779467,0.493572008586977,0.499488159588133,0.221517547013873,0.63380232240044,0.47051612946859,0.70679984439357,0.395382415755388,0.00396843425619365,0.00871086727968705,0.00399454596435211,0.00393999202167028,2.45177818263718e-146,0,0.00474937987051524,0.00283838379278776,0.0044052789449198,0.00325180805886792,0.00440527894491966,0.00474937987051524,0.00650787720550183,0.00132281141873122,0.00373826323105473,0.00246479480190926,0.00380765618900263,0.00817975936948587
20,0.664257377421606,0.344938851573758,0.654873512003271,0.673544853350294,7.61061503137712e-147,0,0.494839536676941,0.774547332366639,0.770522500156009,0.84452718449538,0.770522500156009,0.494839536676941,0.501661304103216,0.221419125807202,0.63469343452179,0.467288731513425,0.707669976701732,0.393093484055397,0.00391105732848148,0.00855867234062824,0.00393683212434769,0.00388298500545102,4.16850478104972e-146,0,0.0048596607752089,0.00275335792907123,0.0048252037256584,0.00246713699238364,0.00482520372565865,0.0048596607752089,0.00669054472514199,0.0013036857761605,0.00375404949084805,0.00287643967171149,0.00447362217029386,0.00802418098644653
29,0.663596360797596,0.344855690075895,0.654208292917721,0.672888427371202,1.51673540765888e-149,0,0.495556694774851,0.774667633151889,0.76391142054627,0.841746400990217,0.76391142054627,0.495556694774851,0.503078087174729,0.221198786932532,0.63511216396337,0.467276788807666,0.706421810129207,0.390579166604502,0.00450445297687274,0.00964314623115516,0.00453429655480483,0.00447196260683929,5.77353747143345e-149,0,0.00533613330678085,0.00310230356344757,0.0073566769031031,0.00322952023720253,0.00735667690310321,0.00533613330678085,0.00718441233295731,0.00150148432562425,0.00416781557158593,0.00304910307475677,0.00434071297649097,0.009374911450583
38,0.662811171491775,0.344347960135735,0.653417939052386,0.672108863781986,2.96080368913027e-148,0,0.495884246392643,0.774639780003843,0.758338771101776,0.839263223706311,0.758338771101776,0.495884246392643,0.503882209241326,0.220937057163925,0.635262013198243,0.467882875012193,0.705300170333274,0.388013543044475,0.00418272463573437,0.00893869680015659,0.00421002704507478,0.00415296405027558,1.15489671942455e-147,0,0.00515368350344352,0.00284787328287245,0.00766308287058039,0.00313134259600426,0.00766308287058047,0.00515368350344352,0.00699917439911371,0.00139424154524479,0.00395415588328943,0.00307669748376108,0.00445832349678084,0.00882210042181877
48,0.661559536086593,0.342843781491045,0.652158253772947,0.670866013337691,2.16158241939364e-143,0,0.495690247317321,0.774293788062271,0.751691741958872,0.836627085617939,0.751691741958872,0.495690247317321,0.504000539213182,0.220519845362198,0.634992017689796,0.468885782617656,0.703910340840739,0.3845977273803,0.00429659032389418,0.00910443209674431,0.00432439269503683,0.00426626308408395,1.18343364704641e-142,0,0.00506320963132278,0.0029246152600336,0.00807468408069671,0.0033157808534776,0.00807468408069673,0.00506320963132278,0.00679339989309218,0.00143219677463139,0.00393617025658574,0.00313618342984463,0.00460126037024725,0.00901447092594789
57,0.66080116190844,0.342054510463235,0.651395071657559,0.670112892481963,1.05005383203738e-140,0,0.495562036083362,0.774140268645312,0.74729248718722,0.834788094178192,0.74729248718722,0.495562036083362,0.504016582609664,0.22026705396948,0.634851152364337,0.469580044349295,0.703207172990377,0.382429358063404,0.00453642613654505,0.00955985438393636,0.00456559297099254,0.00450459400267334,4.15167660669783e-140,0,0.00538319919125009,0.00304420181678219,0.00911127779671282,0.00340512356513692,0.00911127779671283,0.00538319919125009,0.00722933714554721,0.00151214204551501,0.00416233084565468,0.00315008363412014,0.00462921417138472,0.00951985774839008
66,0.660183770228049,0.341562250988482,0.650773654515389,0.669499888847827,1.88556897687544e-140,0,0.495704516009805,0.774072070514073,0.743753791215811,0.833126188277596,0.743753791215811,0.495704516009805,0.504443274353401,0.220061256742683,0.634888293261939,0.470332367755905,0.702545627141955,0.380631087366449,0.00405363354688682,0.00865460885528633,0.00407965728605217,0.00402522708191578,1.03267290188002e-139,0,0.00487554396736626,0.00279169867467765,0.00858890005079457,0.00293835568410838,0.00858890005079445,0.00487554396736626,0.00653785681286924,0.0013512111822956,0.00377636814982026,0.00316327053114855,0.00458223291214847,0.0084044636956198
75,0.65915025281105,0.340289281118298,0.649733615607385,0.668473499878291,6.6572483510811e-138,0,0.495456197477914,0.773767888793715,0.737687547328841,0.831177401430243,0.737687547328841,0.495456197477914,0.504366174026737,0.219716750937017,0.634612043135814,0.471127031550189,0.701703296244179,0.378012013817011,0.0041808656079959,0.00876660888456802,0.00420729771444538,0.00415197616204065,3.04210371260082e-137,0,0.00508400544890955,0.00278870575133647,0.0100064463764858,0.00332396489757688,0.0100064463764859,0.00508400544890955,0.00686471040543659,0.00139362186933197,0.00388510731134669,0.00311256781714728,0.00452304985825288,0.00885617467211131
85,0.659049567144678,0.340766234186968,0.649632318110096,0.668373485178422,1.40370292511168e-139,0,0.495899971260989,0.774018732747952,0.735220326876705,0.830137124502607,0.735220326876706,0.495899971260989,0.505032195121309,0.219683189048226,0.63495935200447,0.471961308457704,0.70068555589463,0.37738113752672,0.00430220987984212,0.00903687274724206,0.00432946912267143,0.00427242245580333,5.41362171377296e-139,0,0.00507239120696689,0.0028823760626335,0.0106354756048265,0.00324557391527298,0.0106354756048266,0.00507239120696689,0.00679408463588963,0.00143406995994738,0.0039185125099843,0.00303767571664491,0.00441281583470271,0.00897211769868449
